timestamp,price,range_high,range_low,atr,position_open
2026-06-18T00:01:03.833899,4281.06,4284.05,4254.53,11.57,yes
2026-06-18T00:10:14.574767,4293.26,4284.05,4254.53,12.75,yes
2026-06-18T02:15:02.811792,4327.45,4328.64,4276.62,12.02,no
2026-06-18T07:06:37.629775,4301.43,4324.75,4296.31,8.51,no
2026-06-18T07:54:45.416527,4291.62,4311.86,4293.37,9.08,no
2026-06-18T11:41:30.692217,4244.88,4273.43,4240.57,9.09,yes
2026-06-18T12:30:26.233314,4254.84,4271.01,4239.97,9.2,no
2026-06-18T14:34:12.641675,4246.77,4276.8,4237.19,12.59,no
2026-06-18T17:44:20.355694,4228.05,4236.83,4214.06,10.64,yes
2026-06-18T19:56:20.889723,4214.78,4233.33,4201.51,8.24,yes
2026-06-18T21:57:40.140947,4209.14,4225.43,4201.51,6.94,no
2026-06-18T23:41:13.899938,4195.76,4219.15,4193.87,6.83,no
2026-06-19T02:21:28.414047,4177.57,4194.68,4178.76,7.37,no
2026-06-19T07:33:21.410145,4152.73,4160.3,4130.59,10.31,no
2026-06-19T11:50:23.188636,4152.72,4167.4,4141.99,6.79,no
2026-06-19T14:31:46.881322,4148.53,4183.08,4143.81,9.89,no
2026-06-19T16:59:38.937110,4154.72,4154.17,4142.62,6.83,no
2026-06-19T18:54:16.752150,4155.51,4154.17,4142.62,6.83,no
2026-06-19T20:23:06.386511,4155.51,4154.17,4142.62,6.83,no
2026-06-19T21:39:13.016526,4155.51,4154.17,4142.62,6.83,no
2026-06-19T22:33:55.746102,4155.51,4154.17,4142.62,6.83,no
2026-06-19T23:41:15.422062,4155.51,4154.17,4142.62,6.83,no
2026-06-20T01:50:43.689361,4155.51,4154.17,4142.62,6.83,no
2026-06-20T06:05:12.530288,4155.51,4154.17,4142.62,6.83,no
2026-06-20T09:32:06.066498,4155.51,4154.17,4142.62,6.83,no
2026-06-20T11:30:29.553798,4155.51,4154.17,4142.62,6.83,no
2026-06-20T13:05:30.428557,4155.51,4154.17,4142.62,6.83,no
2026-06-20T15:07:53.442765,4155.51,4154.17,4142.62,6.83,no
2026-06-20T16:44:24.555604,4155.51,4154.17,4142.62,6.83,no
2026-06-20T17:59:46.868871,4155.51,4154.17,4142.62,6.83,no
2026-06-20T19:27:01.553481,4155.51,4154.17,4142.62,6.83,no
2026-06-20T20:47:44.782498,4155.51,4154.17,4142.62,6.83,no
2026-06-20T21:56:00.569049,4155.51,4154.17,4142.62,6.83,no
2026-06-20T22:57:38.594373,4155.51,4154.17,4142.62,6.83,no
2026-06-21T00:02:10.629782,4155.51,4154.17,4142.62,6.83,no
2026-06-21T05:01:48.216493,4155.51,4154.17,4142.62,6.83,no
2026-06-21T08:59:42.917714,4155.51,4154.17,4142.62,6.83,no
2026-06-21T11:45:56.368368,4155.51,4154.17,4142.62,6.83,no
2026-06-21T13:26:34.692914,4155.51,4154.17,4142.62,6.83,no
2026-06-21T15:21:21.789106,4155.51,4154.17,4142.62,6.83,no
2026-06-21T16:56:44.185053,4155.51,4154.17,4142.62,6.83,no
2026-06-21T18:15:29.375597,4155.51,4154.17,4142.62,6.83,no
2026-06-21T20:03:22.516835,4155.51,4154.17,4142.62,6.83,no
2026-06-21T21:23:38.533761,4155.51,4154.17,4142.62,6.83,no
2026-06-21T22:38:16.341532,4151.87,4159.53,4140.66,7.05,no
2026-06-21T23:54:05.162206,4139.4,4164.88,4140.66,7.93,no
2026-06-22T02:12:02.591190,4188.25,4221.21,4140.14,12.6,no
2026-06-22T07:39:36.302619,4196.55,4207.48,4189.38,6.78,no
2026-06-22T13:15:43.308713,4195.61,4211.84,4188.82,6.68,no
2026-06-22T17:51:11.298380,4182.14,4192.99,4169.73,8.95,no
2026-06-22T20:24:12.998801,4189.82,4193.82,4184.01,4.97,no
2026-06-22T22:19:14.799635,4192.12,4194.56,4184.26,3.99,no
2026-06-22T23:45:19.792662,4194.82,4195.47,4188.48,3.58,no
2026-06-23T01:34:48.473849,4169.1,4198.65,4170.76,7.44,no
2026-06-23T05:48:51.815579,4119.8,4147.04,4114.63,11.37,yes
2026-06-23T08:49:54.355624,4104.47,4124.93,4090.96,11.89,no
2026-06-23T11:47:17.645159,4120.9,4133.37,4115.38,8.53,no
2026-06-23T14:07:47.615930,4139.05,4140.58,4105.34,10.98,no
2026-06-23T16:36:20.987771,4141.78,4141.68,4122.81,10.77,no
2026-06-23T18:26:04.082230,4122.24,4143.95,4124.03,8.0,no
2026-06-23T20:29:43.562883,4111.22,4126.16,4108.78,6.32,no
2026-06-23T21:56:48.656862,4110.14,4126.16,4107.51,5.39,no
2026-06-23T23:01:37.752884,4101.93,4115.11,4097.16,5.78,no
2026-06-24T00:02:58.104263,4102.62,4115.11,4080.9,7.92,no
2026-06-24T04:17:53.464235,4056.76,4081.26,4050.38,13.57,no
2026-06-24T07:54:12.351447,4076.59,4097.69,4071.47,9.62,no
2026-06-24T10:37:32.779808,4058.41,4087.72,4055.27,7.63,no
2026-06-24T12:35:39.531139,4018.54,4066.95,4006.38,11.99,no
2026-06-24T15:21:07.335853,4014.66,4042.2,3964.67,22.16,no
2026-06-24T17:22:26.035089,3998.1,4022.33,3995.64,13.78,no
2026-06-24T19:03:02.000568,3981.33,4011.43,3959.08,12.79,no
2026-06-24T20:51:55.312659,3997.28,4002.91,3973.59,11.89,no
2026-06-24T22:02:57.334229,4007.57,4002.91,3973.59,11.94,no
2026-06-24T23:14:54.874198,3994.2,4008.86,3984.79,8.63,no
2026-06-25T01:26:56.798353,3997.77,4018.76,3978.62,12.13,no
2026-06-25T05:35:59.097147,3989.4,4001.19,3969.03,13.23,no
2026-06-25T08:39:34.627257,3999.6,4001.36,3971.6,11.98,no
2026-06-25T11:19:38.672909,3982.31,3997.73,3981.38,7.78,no
2026-06-25T13:29:08.736218,4020.19,4034.03,3973.88,10.3,no
2026-06-25T16:00:55.328449,4039.59,4042.72,3999.88,15.96,no
2026-06-25T18:12:38.510842,4034.45,4044.11,4023.92,11.06,no
2026-06-25T20:21:41.514030,4028.82,4044.33,4022.06,8.05,no
2026-06-25T21:55:42.819980,4026.7,4043.84,4022.06,7.8,no
2026-06-25T23:06:29.976324,4023.65,4036.67,4019.92,7.45,no
2026-06-26T00:20:45.257018,4021.13,4036.67,4011.53,7.63,no
2026-06-26T04:44:22.503512,4005.92,4012.1,3983.13,10.13,no
2026-06-26T08:20:08.240517,4032.56,4039.82,4008.46,8.61,no
2026-06-26T11:17:29.366068,4047.95,4055.68,4034.61,8.06,no
2026-06-26T13:22:43.879491,4055.28,4066.11,4035.97,10.94,no
